NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Mikal Bridges,Bro,F,82,34.8,0.814,0.49,0.372,0.521,19.6,4.5,3.6,1,0.4,2
Jalen Green,Hou,G,82,31.7,0.804,0.498,0.332,0.498,19.6,5.2,3.5,0.8,0.3,2.3
Domantas Sabonis,Sac,C,82,35.7,0.704,0.613,0.379,0.609,19.4,13.7,8.2,0.9,0.6,3.3
Chet Holmgren,Okc,C,82,29.4,0.793,0.623,0.37,0.598,16.5,7.9,2.4,0.6,2.3,1.6
Austin Reaves,Lal,G,82,32.1,0.853,0.583,0.367,0.568,15.9,4.3,5.5,0.8,0.3,2.1
Bobby Portis,Mil,F,82,24.5,0.79,0.545,0.407,0.562,13.8,7.4,1.3,0.8,0.4,1.1
Jonas Valanciunas,Nor,C,82,23.5,0.785,0.609,0.308,0.585,12.2,8.8,2.1,0.4,0.8,1.4
Harrison Barnes,Sac,F,82,29,0.801,0.571,0.387,0.576,12.2,3,1.2,0.7,0.1,0.7
Obi Toppin,Ind,F,82,21.1,0.775,0.706,0.403,0.661,10.3,3.9,1.6,0.6,0.5,0.8
Reggie Jackson,Den,G,82,22.2,0.806,0.475,0.359,0.499,10.2,1.9,3.8,0.5,0.1,1.3
Payton Pritchard,Bos,G,82,22.3,0.821,0.593,0.385,0.583,9.6,3.2,3.4,0.5,0.1,0.7
Georges Niang,Cle,F,82,22.3,0.85,0.572,0.376,0.567,9.4,3.4,1.2,0.4,0.2,0.9
Nickeil Alexander-Walker,Min,F,82,23.4,0.8,0.517,0.391,0.56,8,2,2.5,0.8,0.5,0.9
Paul Reed,Phi,F,82,19.4,0.718,0.563,0.368,0.561,7.3,6,1.3,0.8,1,0.8
Christian Braun,Den,G,82,20.2,0.694,0.498,0.384,0.525,7.3,3.7,1.6,0.5,0.4,0.7
Cason Wallace,Okc,G,82,20.6,0.784,0.572,0.419,0.602,6.8,2.3,1.5,0.9,0.5,0.5
Michael Porter Jr.,Den,F,81,31.7,0.836,0.575,0.397,0.586,16.7,7,1.5,0.5,0.7,1.1
Donte DiVincenzo,Nyk,G,81,29.1,0.754,0.542,0.401,0.584,15.5,3.7,2.7,1.3,0.4,1.4
Naz Reid,Min,C-F,81,24.2,0.74,0.535,0.414,0.576,13.5,5.2,1.3,0.8,0.9,1.4
Cole Anthony,Orl,G,81,22.4,0.826,0.491,0.338,0.497,11.6,3.8,2.9,0.8,0.5,1.6
Josh Hart,Nyk,G,81,33.4,0.791,0.511,0.31,0.493,9.4,8.3,4.1,0.9,0.3,1.5
Paolo Banchero,Orl,F,80,35,0.725,0.493,0.339,0.497,22.6,6.9,5.4,0.9,0.6,3.1
Corey Kispert,Was,F,80,25.8,0.726,0.643,0.383,0.602,13.4,2.8,2,0.5,0.2,1.2
Josh Giddey,Okc,G,80,25.1,0.806,0.53,0.337,0.523,12.3,6.4,4.8,0.7,0.6,2.1
Moritz Wagner,Orl,F-C,80,17.7,0.814,0.674,0.33,0.637,10.9,4.4,1.2,0.5,0.3,1.2
Peyton Watson,Den,G,80,18.6,0.67,0.551,0.296,0.515,6.7,3.2,1.1,0.5,1.1,0.7
Nikola Jokic,Den,C,79,34.6,0.817,0.626,0.359,0.612,26.4,12.4,9,1.4,0.9,3
Anthony Edwards,Min,G,79,35.1,0.836,0.515,0.357,0.522,25.9,5.4,5.1,1.3,0.5,3.1
DeMar DeRozan,Chi,F,79,37.8,0.853,0.509,0.333,0.507,24,4.3,5.3,1.1,0.6,1.7
Coby White,Chi,G,79,36.5,0.838,0.508,0.376,0.534,19.1,4.5,5.1,0.7,0.2,2.1
Bogdan Bogdanovic,Atl,G,79,30.4,0.921,0.503,0.374,0.537,16.9,3.4,3.1,1.2,0.3,1.4
Tim Hardaway Jr.,Dal,G-F,79,26.8,0.852,0.478,0.353,0.51,14.4,3.2,1.8,0.5,0.1,0.9
Brook Lopez,Mil,C,79,30.5,0.821,0.621,0.366,0.583,12.5,5.2,1.6,0.5,2.4,1
Malik Beasley,Mil,G,79,29.6,0.714,0.533,0.413,0.598,11.3,3.7,1.4,0.7,0.1,0.7
Luguentz Dort,Okc,F,79,28.4,0.826,0.506,0.394,0.557,10.9,3.6,1.4,0.9,0.6,0.9
Sam Hauser,Bos,F,79,22,0.895,0.559,0.424,0.623,9,3.5,1,0.5,0.3,0.4
Andre Drummond,Chi,C,79,17.1,0.592,0.56,0,0.556,8.4,9,0.5,0.9,0.6,1
Kyle Anderson,Min,F-G,79,22.6,0.708,0.488,0.229,0.472,6.4,3.5,4.2,0.9,0.6,1.2
